LH No.,Subject:,Date,Tags,Description
75-0171,Isabel Walker Drake Family Photo,c. 1900,waterfront; steamboat; early 1900s; black and white photograph; circular vignette,"A black and white photograph showing a steamboat on a body of water viewed through a circular vignette, with a figure visible on the left shore and forested hills in the background, circa 1900."
75-0172,Isabel Walker Drake Family Photo,c. 1900,family portrait; outdoor landscape; early 1900s; black and white photograph; rural setting,"A black and white photograph from circa 1900 showing members of the Isabel Walker Drake family standing in a rural landscape with logs and water, with hills visible in the background."
75-0173,Balloonists,1900,,
75-0173,Isabel Walker Drake Family Photo,c. 1900,,
75-0174,Isabel Walker Drake Family Photo,c. 1900,baseball game; early 1900s; outdoor sports; black and white photograph; rural landscape,"A circa 1900 baseball game in progress showing players on a field with hills and scattered buildings visible in the background, likely documenting a recreational sporting event from the Isabel Walker Drake family's era in Corning, New York."
75-0175,Isabel Walker Drake Family Photo,c. 1900,family portrait; early bicycle; outdoor garden; turn-of-century clothing; black and white photograph,"A circa 1900 photograph of the Isabel Walker Drake family showing three people posed outdoors among garden vegetation with an early bicycle, wearing period clothing typical of the turn-of-the-century era."
75-0176,Isabel Walker Drake Family Photo,c. 1900,woman in dress; tree-lined road; early automobile; rural landscape; circular vignette photograph,"A circular vignette photograph from circa 1900 showing a woman in a long white dress standing on a tree-lined dirt road with an early automobile visible in the distance, identified as the Isabel Walker Drake Family Photo from the Corning, NY local history archive."
75-0177,Isabel Walker Drake Family Photo,c. 1900,family portrait; edwardian fashion; women; outdoor setting; black and white photograph,"A black and white photograph from circa 1900 showing two women of the Isabel Walker Drake family posed outdoors, wearing white blouses with elaborate hats decorated with feathers and flowers, typical of Edwardian-era fashion."
75-0178,Isabel Walker Drake Family Photo,c. 1900,baseball game; outdoor sports; early 1900s; rural landscape; black and white photograph,"A circa 1900 black and white photograph showing a baseball game in progress on an open field with multiple players and spectators visible, with trees lining the distant horizon and the image framed in a circular vignette format."
75-0179,Isabel Walker Drake Family Photo,c. 1900,,
75-0179,Isabel Walker Drake Family Photo,c.1900,,
75-0180,Isabel Walker Drake Family Photo,c. 1900,stereoscopic card; winter scene; snow; early 1900s; women in period dress,"A stereoscopic card showing two women in dark winter coats and hats standing in a snowy street lined with bare trees and utility poles, circa 1900, with a partial view of the Isabel Walker Drake family visible at the top of the photograph."
75-0181,Isabel Walker Drake Family Photo,c. 1900,woman; lakeside; early 1900s; black and white photograph; outdoor portrait,"A woman in early 1900s attire with a dark jacket and hat stands on a rocky beach beside a large tree, with sailboats visible on the water behind her in this circular-framed photograph from the Isabel Walker Drake Family collection."
75-0182,Isabel Walker Drake Family Photo,c. 1900,horse-drawn wagon; clock tower; early 1900s; black and white photograph; architectural buildings,"A circa 1900 photograph showing a horse-drawn wagon with passengers in front of a stone clock tower and classical buildings in Corning, NY, documenting the Isabel Walker Drake family."
75-0183,Isabel Walker Drake Family Photo,c. 1900,victorian mansion; cedar rapids; black and white photograph; circa 1903; historic architecture,"A black and white photograph of a grand Victorian-era mansion in Cedar Rapids dated April 28, 1903, showing a multi-story house with distinctive turrets, towers, and ornate architectural details, surrounded by bare trees and a fence in a rural landscape."
75-0184,Isabel Walker Drake Family Photo,c. 1900,family group portrait; turn-of-the-century clothing; outdoor setting; sepia photograph; Isabel Walker Drake,"A circa 1900 photograph of the Isabel Walker Drake family showing six people in period dress seated outdoors against a stone wall with ivy and trees, with handwritten archival notations visible on the photograph margins."
75-0185,Isabel Walker Drake Family Photo,c. 1900,parade; horse-drawn carriages; flags; early 1900s; black and white photograph,"A circular-framed black and white photograph from circa 1900 showing a street parade or procession with horse-drawn carriages, flags, and formally dressed spectators and participants gathered along a street in what appears to be Corning, NY, related to the Isabel Walker Drake family."
75-0186,Isabel Walker Drake Family Photo,c. 1900,winter scene; snow; person walking; bare trees; black and white photograph; early 1900s; circular vignette,"A circular vignette photograph from circa 1900 showing a person in dark clothing walking through a snowy street in Corning, NY, with bare trees, utility poles, and buildings visible in the background, with handwritten notation on the lower right."
75-0187,Isabel Walker Drake Family Photo,c. 1900,family portrait; baby carriage; edwardian era; women; outdoor photograph; black and white,A circa 1900 photograph of the Isabel Walker Drake family showing four women in dark Edwardian clothing and elaborate feathered hats posed outdoors with an ornate baby carriage on a bare winter landscape.
75-0188,Isabel Walker Drake Family Photo,c. 1900,portrait photograph; military uniform; campaign hat; early 1900s; black and white photograph,"A formal portrait photograph from circa 1900 showing a young man in military dress uniform wearing a distinctive campaign hat, identified as part of the Isabel Walker Drake Family Photo collection from Corning, NY."
75-0189,Construction,,street construction; horse-drawn equipment; early 1900s; bare trees; crowd of workers,"This black and white photograph from circa 1900 shows a street construction scene in Corning, NY with workers and spectators gathered around a horse-drawn scraper or grading equipment on a tree-lined street, likely documenting infrastructure development during the early industrial period."
